Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
Outspoken,"Mark Cuban, Reid Hoffman, Reed Hastings and other prominent entrepreneurs are launching “Business Leaders for Harris” with outreach to the traditionally right-leaning business community—to win over independent and conservative voters suspicious of Trump.",Oct-04,127,4.5K,419
iruletheworldmo,It’s quite likely we need trump to accelerate,Oct-05,13,12K,211
Aes,"Democrats control all of Pennsylvania. If Trump thinks he will easily take it, he’s wrong. They have voted consistently Democrat for every election.",Oct-05,55,4K,338
Ultra MAGA Joyce Day,This was the best Trump rally ever!,Oct-05,39,1.4K,260
Trump 2024,This great patriot @Visuals3rd has 2000 followers. Let’s follow and take him to 2500 followers. He follows back!,Oct-05,72,1.7K,106
JB Thinkin,Any truth to the rumors that the trump campaign will be charging for seats on top of the shooters shed in Butler to watch the rally? I think they are calling it the “Grifty Knoll”?!!,Oct-04,17,2.9K,296
AntifaPuddin’Pop,"Reaching out to NC Maga. Curious if you have received any money from Trump’s GoFundMe? Where’s your orange ass clown? Eating gourmet meals and playing golf while you suffer, that’s where! You’re still gonna vote for this scam artist aren’t you? Pathetic fools!",Oct-06,18,9.4K,1.1K
D-LIB,"Donald Trump will milk the Butler, Pennsylvania shooting. For political gain. He doesn’t care about the loss of life and those wounded that day. This is so sleazy.",Oct-05,19,6K,324
Truth Seeker,"Just because I don’t support Trump, doesn’t mean I support Kamala. I voted for Trump twice before waking up. Politics are fake and any “truther” that pushes the left vs the right are blind or controlled. Politics are a tool used to keep people divided.",Oct-06,11,4.2K,299
Machine Pun Kelly,I’m starting to suspect Donald Trump doesn’t know what the fuck he’s talking about.,Oct-04,27,2.6K,586
Skyler Johnson,Trump is (incorrectly) claiming that Biden and Harris are withholding aid from Hurricane Helene victims because he knows if he was President he’d try and deny aid to blue states in need,Oct-05,17,2.9K,204
Dannie D,Tim Walz shut down a maga Fox host and called Trump a liar in front of the entire world.,Oct-06,18,4.3K,527
Rio Tazewell,"For her entire career @KamalaHarris has only ever served one client: the people. For his entire career, Donald Trump has only ever served one client: himself. That’s what this election is about.",Oct-05,23,8.4K,368
Captain Obvious,My wife: “Why do Trump’s speeches sound like a word salad?” Me: “Because he’s a vegetable.”,Oct-05,44,22K,352
Chris Hahn,Trump failed us and was removed by us. He then tried to burn our nation to the ground. Never forget he only cares about himself.,Oct-06,161,8.8K,620
Dannie D,Trump is not trying to win the election. Trump is trying to steal the election.,Oct-05,161,5.8K,620
MM,I’m less concerned about what Trump supporters are going to do on January 6th and more concerned about what Mike Johnson and the House Republicans are going to do on January 6th.,Oct-04,157,2.5K,434
Art Candee,"Lara Trump wants to hold people who cheat in elections responsible. In that case, she should start with her father-in-law.",Oct-05,112,1.1K,299
Art Candee,Why won’t 78 year-old Donald Trump release his medical records? Unacceptable!,Oct-05,112,1.1K,299
JP,"A lot of X accounts post excerpts of Trump’s speeches to show how nuts he is, but I had to unfollow them because I’m tired of seeing that fool’s face and hearing his voice. I already know he’s nuts, don’t need to see it anymore.",Oct-05,18,5.3K,221
Brian Eskow,"I don’t think it would be possible to overstate how left my dad is and how important politics is to our relationship. His disgust at my decision to vote for Trump was palpable. I wish that weren’t the case, but I’m sure as hell not changing my mind to make him feel better.",Oct-04,831,14.7K,7.3K
Mayo,Democracy over Donald Trump. 🇺🇸,Oct-04,26,7K,566
John Pavlovitz,"If Donald Trump loses, he won’t be alone. He will take down or pave the way for taking down his entire cadre of ghouls that has infiltrated and poisoned Congress. We all deserve to see this horse shit empire fall. Please rally all good people to the polls.",Oct-04,76,37K,5K
Heather Thomas,"When Democrats win in the fall, it won’t be because of sick misinformation. It will be because a young woman in Butler read Trump Project 2025 and didn’t understand why Trump and the Republicans wanted to cut her parents’ Social Security and Medicaid, or allow the price of ...",Oct-05,25,24K,1.9K
Trump Is My President,If you hate the government I want to follow you.,Oct-04,172,6.6M,961
Dean Obeidallah,"Do not let corporate media mislead you today that Trump drew a massive crowd in Penn. Beyond the core few thousand, the rest are paid like extras to show up. It’s why they leave early. They are only paid to be there at the start.",Oct-05,35,4.3K,301
Mayo,Donald Trump doesn’t give a fuck about Americans.,Oct-05,30,1.5K,1.4K
Douglass Mackey,Liberals are angry and confused over performance of “Ave Maria” at Trump rally in honor of Butler shooting victims. They only want suffering and cruelty.,Oct-05,10,11K,570
Jim Benson,Who’s watching the Trump Rally?,Oct-05,27,2.8K,284
Brian Eskow,"Many of my new followers ask me how I can see through every media lie about Trump except the 2020 election. I’m sorry, guys. I operate on the surface level and do not see any evidence of widespread fraud. I know the election wasn’t fair due to extreme media bias both before and...",Oct-05,269,17K,437
Bad Hombre,"To the low-IQ Kamala supporters crying that Elon’s endorsement of Trump is somehow at odds with his commitment to free speech on X: No one is stopping you from using X. In fact, you’re complaining about Elon’s endorsement right here, on X. It’s possible to own a business,...",Oct-06,48,15K,1.3K
Truth Seeker,TRUMP AND KAMALA ARE IN THE SAME CLUB.,Oct-06,57,18K,630
Lauren Windsor,omg did trump really just say that... that’s it’s good the wife wants her dead husband back over all the attention she’s getting??,Oct-05,171,50K,1.1K
Eric Garcia,"Is it just me, or is trump just really stupid???",Oct-04,51,6.7K,491
Mary L Trump,"If Larry Hogan gave a shit about the future of American democracy, he would be supporting Angela Alsobrooks, not running against her.",Oct-04,74,57K,1.3K
Ricky Davila,"The Oklahoma superintendent of schools Ryan Walters wants to place a Bible in every classroom in the state and he’s requesting $3.3M to purchase them, to make it worse, he wants to purchase trump bibles. It’s clear why Oklahoma usually ranks 49th or 50th in education in the US.",Oct-04,134,11K,967
J-L Cauvin,When Trump dies will Mar A Lago become Graceland for pieces of shit?,Oct-06,57,17K,499
Outspoken,Republicans in Congress wouldn’t fund FEMA. Trump took money from FEMA. Now they’re screaming that FEMA isn’t funded.,Oct-05,9,3.9K,251
AmericanPapaBear,"Good morning patriots! 🇺🇸 Will you be watching Trump rally in Butler, PA? 👀🔥",Oct-05,79,4.3K,297
Rob,Donald Trump donated $25 million to hurricane victims and he’s now hosting 275 linemen in Florida at his resort for free. Kamala Harris is talking about tampons on a podcast and drinking beer with late night talk show hosts. They are not the same.,Oct-09,130,4.2K,296
Zach,Can’t wait to tweet STOP THE COUNT when 5 absentee ballots in bumfuck county Kentucky shows Harris leading.,Oct-11,1,57,6
Philip Anderson,"Trump supporters, if you live in Northampton Pennsylvania you need to vote ASAP. If we win Northampton county we win Pennsylvania. The democrats are up by 200 there. GET OUT THE VOTE FOR TRUMP NOW",Oct-11,17,11K,481
Aes,Harris is listening to feedback. She is moving further to the center. 👏👏👏💯,Oct-11,24,6.9K,504
Men4Choice,Donald Trump’s Project 2025 will ban abortion nationwide. Kamala Harris will fight to restore Roe v. Wade. Let’s get this done.,Oct-11,1,922,123
Patriot Parker,Low IQ estrogen filled white dudes for Harris...,Oct-11,14,1K,66
Daniel Miller,"It’s a terrifying proposition that even if Kamala Harris wins the election, certain states might try to overturn the results; that the House and Senate might refuse to certify the election; and that the Supreme Court might pull a Bush v. Gore. But you know what we can do? 1/",Oct-08,704,1.5M,37K
Dennis,"Mitt Romney, John Kelly, and all the others that have said trump should never be allowed back in power, but have not endorsed Kamala Harris will NOT be able to say they took a stand when she wins the election. Them saying what they did was an opinion, NOT a stand. Their silence...",Oct-09,6,996,119
Wyatt,1 out of 3 Harris supporters are just as stupid as the other 2.,Oct-08,101,14K,1.4K
SteelerNation,Embarrassing coaching performance from Mike Tomlin and Arthur Smith. Why is Najee Harris playing hardly at all? George Pickens is basically not on the field for most first and second down attempts.,Oct-06,123,178K,2.7K
Deerhoof,"People actually telling me with a straight face “Jill Stein is just as much of an opportunist as the rest,” as if I’m accusing Harris of opportunism. I accuse her of murder. Body count in the hundreds of thousands. I accuse her of war crimes.",Oct-09,47,1.8K,353
David Limbaugh,"It really is stunning how manifestly incompetent, ill-informed, ignorant, and inarticulate Kamala Harris—the perpetual second-hand embarrassment generating machine—is. That she is the Democrat Party’s nominee is stupefying.",Oct-07,150,43K,2.1K
Shawn Harris for Congress,"Marjorie Taylor Greene is so desperate to shift blame from her failed efforts to block crucial funds for FEMA that she’ll say anything. Even that Democrats control the weather. Marjorie, how does that work? Is that space lasers?",Oct-06,150,76K,5.4K
Dr. Carol M. Swain,Can someone direct me to an unbiased search engine that would allow me to research Kamala Harris and other Democrats? It isn’t DuckDuckGo. All the articles I find are cheerleading or advocating for her. #KamalaHarris #searchengine,Oct-07,64,231K,1.1K
Hal Sparks,I find it interesting that @foxandfriends are concerned about @KamalaHarris having a beer with @colbertlateshow ...BUT... they have ZERO problem with Trump believing one of their cohosts is genetically inferior to the rest.,Oct-10,88,4.2K,1.4K
Vice President Kamala Harris,Doug and I wish all who are observing Yom Kippur an easy and meaningful fast. G’mar Chatima Tovah.,Oct-11,20K,118K,2.1K
Kamala Harris Press Release (Parody),"I don’t understand why the more I talk, the more I drop in the polls.",Oct-10,23,8.8K,4.5K
"Jen ""We aren’t going back"" Rubin",Harris was being generous. I honestly don’t think Trump loves his family. He cannot love anyone or anything but himself. cc: @OurShallowState @gtconway3d,Oct-10,117,31K,9.7K
Allison Wiltz Psy.M.,"Did Obama talk down to Black men, or did he simply point out that some of the resistance to Kamala Harris is because she’s a woman? Does it describe all resistance to Kamala Harris? No, but to claim that none of the resistance has anything to do with her gender is lunacy.",Oct-11,583,227K,8.1K
Barbra Streisand,A calling... All women who believe in a woman’s right to control her own body MUST get Kamala Harris elected.,Oct-11,7.8K,37K,116K
Art Candee,60 Minutes has the balls to say that VP Harris’ plan on reducing grocery costs “isn’t defined.” Has ANYONE... Literally ANYONE... at CBS ever pressed Donald Trump on ANY of his plans?! Ffs! We’re waiting on Donald’s healthcare plan 8 years later!!!!!,Oct-07,2.3K,6.5K,30.5K
Kamala’s Wins,BREAKING: Kamala Harris will go on the Call Her Daddy podcast next week. This is incredible.,Oct-04,298,190K,4.3K
